control,precise,PI1,PI2,PI3,PP1,PP2,PP3,PP4,PC1,PC2,PM1,PM2,PM3,Thomas,NE1,NE2,NE3,PE2,NE4,PE3,PE4,NE5,PE5,Gender,Age,Income,MPC,MPM,MNE,MPE,Mplau,MPI,filter_$,precise1
1,0,5,6,7,7,6,5,4,6,7,6,7,5,6,4,3,4,4,3,4,3,4,3,1,3,6,6.5,6,3.6,3.5,5.5,6,0,1
1,0,6,3,5,4,3,4,5,5,4,5,6,5,4,3,2,3,2,4,3,4,3,2,2,3,6,4.5,5.33333333333333,3,2.75,4,4.66666666666667,0,1
1,0,7,6,5,7,5,5,6,6,7,6,7,5,3,2,1,1,4,2,5,4,2,4,2,3,6,6.5,6,1.6,4.25,5.75,6,0,1
1,0,4,2,5,4,4,3,3,7,7,7,7,6,4,1,1,1,5,1,1,2,1,5,1,3,6,7,6.66666666666667,1,3.25,3.5,3.66666666666667,0,1
1,0,6,5,4,6,5,4,6,5,4,5,6,5,5,3,2,2,1,3,2,2,4,3,2,3,6,4.5,5.33333333333333,2.8,2,5.25,5,0,1
1,0,6,4,4,5,5,4,5,5,4,5,6,4,5,2,1,1,2,1,3,4,2,1,1,4,5,4.5,5,1.4,2.5,4.75,4.66666666666667,0,1
1,0,3,3,2,5,4,4,4,5,5,6,5,5,5,2,2,1,3,2,4,4,2,4,2,4,5,5,5.33333333333333,1.8,3.75,4.25,2.66666666666667,0,1
1,0,4,3,3,4,4,4,4,7,5,4,4,4,4,3,3,3,3,1,3,3,2,3,2,4,5,6,4,2.4,3,4,3.33333333333333,0,1
1,0,5,7,4,5,3,6,5,5,5,6,6,7,5,5,4,3,4,2,3,4,3,3,1,4,3,5,6.33333333333333,3.4,3.5,4.75,5.33333333333333,0,1
0,1,3,1,1,2,2,2,2,7,7,1,1,1,2,2,3,2,1,5,3,2,4,2,1,1,1,7,1,3.2,2,2,1.66666666666667,1,0
0,1,6,4,6,5,3,5,4,4,3,4,6,6,4,1,1,2,2,3,2,4,3,4,1,1,2,3.5,5.33333333333333,2,3,4.25,5.33333333333333,1,0
0,1,5,3,6,4,5,4,3,4,3,2,3,4,4,3,4,2,1,2,3,4,2,3,2,1,2,3.5,3,2.6,2.75,4,4.66666666666667,1,0
0,1,3,5,6,4,6,4,6,4,5,6,7,5,5,2,1,2,4,3,4,3,2,4,2,1,2,4.5,6,2,3.75,5,4.66666666666667,1,0
0,1,7,7,6,6,7,6,5,1,1,6,6,7,4,4,4,2,1,4,2,3,4,2,2,1,2,1,6.33333333333333,3.6,2,6,6.66666666666667,1,0
0,1,5,4,3,2,4,2,3,5,5,3,4,4,5,2,1,1,1,2,3,5,2,5,2,1,2,5,3.66666666666667,1.6,3.5,2.75,4,1,0
0,1,7,6,5,5,4,4,5,4,5,4,5,5,3,2,1,2,3,2,4,4,1,4,1,1,2,4.5,4.66666666666667,1.6,3.75,4.5,6,1,0
0,1,4,5,6,4,6,4,6,6,5,5,6,5,5,4,3,4,3,4,5,3,4,4,2,1,4,5.5,5.33333333333333,3.8,3.75,5,5,1,0
0,1,5,6,7,3,5,6,4,5,5,5,4,4,3,1,1,1,5,2,4,4,1,5,1,1,1,5,4.33333333333333,1.2,4.5,4.5,6,1,0
0,1,5,3,5,5,4,5,5,3,3,6,7,4,4,2,1,2,2,3,2,4,3,2,2,1,2,3,5.66666666666667,2.2,2.5,4.75,4.33333333333333,1,0
0,1,6,5,6,6,5,5,4,4,4,5,4,6,4,3,2,3,4,5,4,5,4,3,2,2,4,4,5,3.4,4,5,5.66666666666667,1,0
0,1,6,3,2,3,6,4,7,6,7,6,4,7,6,2,1,3,5,4,3,2,5,1,1,2,1,6.5,5.66666666666667,3,2.75,5,3.66666666666667,1,0
0,1,1,5,7,7,4,3,6,5,6,5,6,2,2,2,5,1,4,2,5,3,1,4,2,2,4,5.5,4.33333333333333,2.2,4,5,4.33333333333333,1,0
0,1,4,5,2,5,4,6,4,5,5,6,4,2,6,4,3,2,3,3,2,4,4,3,1,2,2,5,4,3.2,3,4.75,3.66666666666667,1,0
0,1,2,5,4,5,5,6,3,5,3,4,2,6,3,4,2,3,1,3,2,4,5,3,2,2,4,4,4,3.4,2.5,4.75,3.66666666666667,1,0
0,1,1,2,2,5,5,5,6,7,6,4,5,3,3,1,1,1,2,1,4,4,1,4,1,2,6,6.5,4,1,3.5,5.25,1.66666666666667,1,0
0,1,7,5,4,5,3,4,6,5,4,5,3,3,4,4,3,2,2,4,2,4,4,4,1,2,3,4.5,3.66666666666667,3.4,3,4.5,5.33333333333333,1,0
0,0,6,7,5,6,5,6,6,6,7,5,5,4,3,4,5,2,1,2,4,3,4,2,2,2,6,6.5,4.66666666666667,3.4,2.5,5.75,6,1,1
0,1,6,4,3,5,3,6,5,5,6,5,6,4,3,3,2,1,2,4,3,5,3,5,2,2,4,5.5,5,2.6,3.75,4.75,4.33333333333333,1,0
0,1,4,5,4,4,5,4,5,6,6,5,6,4,4,4,5,3,4,3,4,5,5,4,2,2,6,6,5,4,4.25,4.5,4.33333333333333,1,0
0,1,4,3,3,3,2,3,2,2,2,1,2,2,2,4,3,3,3,3,3,3,4,3,2,2,2,2,1.66666666666667,3.4,3,2.5,3.33333333333333,1,0
0,1,3,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,4,3,2,2,3,2,2,3.2,3,2,2.33333333333333,1,0
0,1,6,4,5,6,4,5,4,4,3,5,6,4,2,3,2,1,1,3,2,2,3,2,2,2,6,3.5,5,2.4,1.75,4.75,5,1,0
0,0,6,7,6,2,6,4,2,6,5,4,6,2,3,4,2,1,4,3,5,4,2,4,2,2,6,5.5,4,2.4,4.25,3.5,6.33333333333333,1,1
0,1,6,4,7,6,4,7,3,6,5,6,5,6,2,2,1,3,1,4,5,5,2,4,1,2,4,5.5,5.66666666666667,2.4,3.75,5,5.66666666666667,1,0
0,1,6,6,5,4,6,4,5,5,4,6,5,6,6,4,3,4,2,2,3,3,4,4,1,2,6,4.5,5.66666666666667,3.4,3,4.75,5.66666666666667,1,0
0,1,4,4,4,4,4,5,5,4,4,4,5,4,4,3,4,3,3,4,4,4,3,3,1,2,4,4,4.33333333333333,3.4,3.5,4.5,4,1,0
0,1,1,2,2,1,2,1,2,2,1,4,2,1,5,1,1,1,1,3,2,4,3,2,1,2,4,1.5,2.33333333333333,1.8,2.25,1.5,1.66666666666667,1,0
0,1,4,3,6,4,5,5,3,3,3,5,5,4,6,3,2,1,3,4,3,4,5,2,2,2,5,3,4.66666666666667,3,3,4.25,4.33333333333333,1,0
0,1,3,3,4,5,4,3,2,1,1,5,6,4,5,3,1,2,3,4,3,2,4,3,2,2,6,1,5,2.8,2.75,3.5,3.33333333333333,1,0
0,1,6,3,5,4,4,5,4,2,3,5,5,4,4,3,1,1,3,2,3,3,1,3,1,2,6,2.5,4.66666666666667,1.6,3,4.25,4.66666666666667,1,0
0,1,3,6,6,4,5,4,5,2,2,6,5,5,3,2,1,3,4,2,3,1,3,4,2,2,6,2,5.33333333333333,2.2,3,4.5,5,1,0
0,1,3,6,5,3,5,3,4,7,4,5,3,4,4,3,5,3,4,2,3,4,3,4,2,2,5,5.5,4,3.2,3.75,3.75,4.66666666666667,1,0
0,1,5,4,5,6,7,6,5,5,7,6,7,5,3,3,2,2,2,1,4,5,4,3,1,2,6,6,6,2.4,3.5,6,4.66666666666667,1,0
0,1,3,2,3,2,3,3,2,2,2,2,2,3,4,4,3,3,3,4,3,3,4,3,2,2,5,2,2.33333333333333,3.6,3,2.5,2.66666666666667,1,0
0,1,7,2,2,6,6,7,6,5,4,7,7,6,3,2,1,1,3,2,4,5,2,4,2,2,6,4.5,6.66666666666667,1.6,4,6.25,3.66666666666667,1,0
0,1,5,5,6,6,6,5,6,4,5,4,6,4,3,2,1,2,4,1,5,4,1,4,2,2,5,4.5,4.66666666666667,1.4,4.25,5.75,5.33333333333333,1,0
0,1,2,1,1,2,2,1,1,1,1,1,1,1,4,4,3,3,3,4,3,3,3,3,2,2,4,1,1,3.4,3,1.5,1.33333333333333,1,0
0,1,6,5,5,5,6,6,7,2,2,6,7,6,3,3,1,2,1,3,2,4,3,2,1,3,5,2,6.33333333333333,2.4,2.25,6,5.33333333333333,1,0
0,1,5,4,4,5,4,3,5,5,5,5,5,5,5,5,4,5,3,4,3,2,4,2,1,3,1,5,5,4.4,2.5,4.25,4.33333333333333,1,0
0,1,3,2,2,2,3,1,1,2,2,2,1,1,4,3,3,1,1,3,1,1,4,1,1,3,6,2,1.33333333333333,2.8,1,1.75,2.33333333333333,1,0
0,1,6,4,3,5,6,5,6,6,7,5,6,5,3,4,2,2,3,4,3,3,5,3,2,3,5,6.5,5.33333333333333,3.4,3,5.5,4.33333333333333,1,0
0,1,7,5,5,7,5,6,5,2,2,7,6,7,3,4,2,1,1,4,2,4,2,1,2,3,5,2,6.66666666666667,2.6,2,5.75,5.66666666666667,1,0
0,1,3,3,3,4,3,3,3,2,3,3,3,4,5,2,3,2,3,2,3,3,3,3,1,3,2,2.5,3.33333333333333,2.4,3,3.25,3,1,0
0,1,6,4,6,4,5,5,4,6,4,4,5,5,4,4,3,1,4,5,3,4,5,3,1,3,6,5,4.66666666666667,3.6,3.5,4.5,5.33333333333333,1,0
0,1,6,5,6,6,5,5,6,3,3,6,6,6,3,4,4,4,2,5,2,2,4,2,2,3,5,3,6,4.2,2,5.5,5.66666666666667,1,0
0,1,1,1,3,2,1,3,1,2,2,2,2,2,4,3,2,1,1,1,1,1,2,1,1,3,6,2,2,1.8,1,1.75,1.66666666666667,1,0
0,1,6,4,4,5,4,5,5,4,2,6,6,5,5,4,1,1,3,5,2,3,4,3,2,4,5,3,5.66666666666667,3,2.75,4.75,4.66666666666667,1,0
0,1,5,5,4,3,4,4,3,2,2,3,4,2,4,3,2,3,2,3,3,4,4,2,2,4,3,2,3,3,2.75,3.5,4.66666666666667,1,0
0,1,5,4,3,7,6,4,3,1,4,5,6,4,3,2,1,2,3,2,4,5,2,3,1,4,4,2.5,5,1.8,3.75,5,4,1,0
0,1,4,5,5,7,7,5,5,2,2,7,6,6,4,3,1,1,2,3,2,4,4,3,2,4,3,2,6.33333333333333,2.4,2.75,6,4.66666666666667,1,0
0,1,5,4,5,5,4,5,4,4,4,5,4,5,4,2,1,4,1,2,4,3,1,4,1,4,6,4,4.66666666666667,2,3,4.5,4.66666666666667,1,0
1,1,7,6,5,6,6,5,5,7,7,6,4,5,4,1,1,2,4,3,5,5,5,5,2,1,1,7,5,2.4,4.75,5.5,6,0,0
1,1,6,5,5,3,4,4,5,3,4,2,3,3,4,2,1,1,4,1,3,4,1,3,1,1,1,3.5,2.66666666666667,1.2,3.5,4,5.33333333333333,0,0
1,1,7,4,4,3,3,3,3,4,4,2,2,2,2,5,4,3,4,5,3,2,4,4,2,1,2,4,2,4.2,3.25,3,5,0,0
1,1,4,3,4,7,6,6,6,6,6,6,7,6,3,1,1,1,3,1,2,2,2,3,2,1,2,6,6.33333333333333,1.2,2.5,6.25,3.66666666666667,0,0
1,1,4,2,5,6,5,7,4,5,6,5,7,6,3,2,1,2,4,3,2,4,1,5,2,1,2,5.5,6,1.8,3.75,5.5,3.66666666666667,0,0
1,1,3,3,5,2,1,4,2,6,5,1,2,3,3,1,1,3,5,2,4,4,2,5,2,1,2,5.5,2,1.8,4.5,2.25,3.66666666666667,0,0
1,1,6,6,7,6,6,5,4,7,6,6,7,6,4,2,1,1,4,5,3,5,4,5,2,1,2,6.5,6.33333333333333,2.6,4.25,5.25,6.33333333333333,0,0
1,1,6,4,5,2,6,2,4,6,7,2,3,3,5,2,1,1,4,3,4,4,1,4,2,1,2,6.5,2.66666666666667,1.6,4,3.5,5,0,0
