Control Group,Precise Group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q12_1,Q12_2,Q12_3,Q13,Sex,Age,Edu,Income,Perceived Control,Precised Price,Purchase Intention,Plausbility
1,1,7,7,5,6,2,4,4,6,5,6,6,5,6,5,女,20,本科,2000-4999元,6.25,3.333333333,5.666666667,5.666666667
0,1,1,1,1,1,4,3,3,3,3,3,2,2,2,7,女,56,本科,5000-9999元,1,3.333333333,3,2
1,0,6,7,6,6,5,6,5,6,7,6,6,6,7,4,男,58,本科,10000-19999元,6.25,5.333333333,6.333333333,6.333333333
1,1,7,7,7,7,3,4,6,4,4,4,5,5,4,4,女,32,硕士,10000-19999元,7,4.333333333,4,4.666666667
1,0,6,7,6,5,7,6,6,6,5,6,6,5,7,4,女,35,本科,10000-19999元,6,6.333333333,5.666666667,6
0,1,1,1,1,2,4,2,4,3,2,2,2,3,3,6,女,27,本科,5000-9999元,1.25,3.333333333,2.333333333,2.666666667
1,1,7,7,7,7,2,4,4,7,7,7,7,7,7,4,女,27,专科,5000-9999元,7,3.333333333,7,7
1,0,6,7,6,6,7,6,6,5,4,6,7,6,6,4,男,32,专科,5000-9999元,6.25,6.333333333,5,6.333333333
1,0,6,7,6,6,5,6,6,5,6,6,5,5,6,5,男,45,本科,20000元以上,6.25,5.666666667,5.666666667,5.333333333
0,1,1,2,2,1,3,2,3,3,3,2,2,2,1,6,男,42,硕士,10000-19999元,1.5,2.666666667,2.666666667,1.666666667
0,1,2,3,1,2,2,3,4,6,5,7,7,7,5,6,女,34,本科,10000-19999元,2,3,6,6.333333333
1,0,6,5,5,5,6,5,7,6,5,5,5,5,6,5,女,22,本科,2000-4999元,5.25,6,5.333333333,5.333333333
1,0,7,6,6,7,7,6,7,5,7,6,5,7,6,4,男,30,硕士,5000-9999元,6.5,6.666666667,6,6
0,0,1,1,2,1,6,6,7,5,6,6,7,5,5,4,女,38,本科,10000-19999元,1.25,6.333333333,5.666666667,5.666666667
1,0,6,7,5,6,5,6,7,6,5,5,5,6,6,5,男,27,本科,5000-9999元,6,6,5.333333333,5.666666667
0,1,1,2,1,2,5,5,4,6,7,7,6,7,6,3,女,34,本科,10000-19999元,1.5,4.666666667,6.666666667,6.333333333
1,1,7,6,7,6,4,3,2,5,6,5,5,4,6,5,女,56,专科,5000-9999元,6.5,3,5.333333333,5
0,0,1,1,1,1,7,6,7,6,7,7,7,6,7,5,男,38,专科,5000-9999元,1,6.666666667,6.666666667,6.666666667
1,0,7,7,7,7,7,5,6,2,3,2,5,6,4,5,女,23,本科,2000-4999元,7,6,2.333333333,5
1,1,6,6,6,6,3,2,2,5,5,5,5,6,6,5,女,34,本科,10000-19999元,6,2.333333333,5,5.666666667
0,0,2,2,1,2,6,5,5,5,5,6,6,5,6,3,女,23,本科,10000-19999元,1.75,5.333333333,5.333333333,5.666666667
0,0,1,2,1,1,6,5,5,7,5,7,5,6,5,3,男,41,本科,5000-9999元,1.25,5.333333333,6.333333333,5.333333333
0,1,2,1,2,1,4,3,4,6,5,5,5,6,5,5,男,28,本科,5000-9999元,1.5,3.666666667,5.333333333,5.333333333
0,1,2,2,2,2,3,4,6,2,2,3,2,3,2,6,女,33,硕士,10000-19999元,2,4.333333333,2.333333333,2.333333333
0,0,1,1,1,2,7,6,7,6,7,6,7,6,7,5,女,38,专科,10000-19999元,1.25,6.666666667,6.333333333,6.666666667
1,0,6,6,6,6,6,6,5,5,5,6,6,5,5,4,男,36,本科,20000元以上,6,5.666666667,5.333333333,5.333333333
0,1,3,2,3,3,4,2,4,6,5,7,6,5,5,4,女,29,本科,5000-9999元,2.75,3.333333333,6,5.333333333
0,0,1,2,2,3,5,7,7,5,7,6,6,7,6,4,男,31,硕士,10000-19999元,2,6.333333333,6,6.333333333
1,0,5,6,5,5,5,5,6,5,6,6,6,5,6,4,女,31,专科,5000-9999元,5.25,5.333333333,5.666666667,5.666666667
1,0,7,7,6,5,7,5,3,3,3,2,3,2,3,5,女,23,本科,2000元以下,6.25,5,2.666666667,2.666666667
0,1,2,1,1,3,5,5,4,3,2,1,1,3,2,6,男,28,本科,5000-9999元,1.75,4.666666667,2,2
0,0,1,2,1,1,6,7,6,5,5,6,5,6,6,4,男,41,硕士,10000-19999元,1.25,6.333333333,5.333333333,5.666666667
1,0,7,6,7,6,6,5,7,5,4,6,6,5,6,4,女,71,硕士,10000-19999元,6.5,6,5,5.666666667
0,0,2,3,2,3,5,6,6,5,6,5,5,5,6,5,女,24,本科,5000-9999元,2.5,5.666666667,5.333333333,5.333333333
1,0,6,7,6,7,4,7,5,5,5,7,6,7,7,2,女,54,本科,5000-9999元,6.5,5.333333333,5.666666667,6.666666667
1,1,6,7,6,5,2,3,3,6,4,5,5,6,5,5,女,25,本科,5000-9999元,6,2.666666667,5,5.333333333
1,1,7,7,7,7,4,5,5,4,5,5,4,4,4,5,男,41,本科,5000-9999元,7,4.666666667,4.666666667,4
1,0,7,6,7,6,7,6,6,6,7,6,6,6,7,4,男,42,本科,10000-19999元,6.5,6.333333333,6.333333333,6.333333333
1,1,7,7,7,7,3,2,3,4,3,3,3,2,3,6,男,22,本科,2000-4999元,7,2.666666667,3.333333333,2.666666667
1,0,6,7,6,7,5,6,6,5,6,6,6,5,6,4,女,30,硕士,10000-19999元,6.5,5.666666667,5.666666667,5.666666667
0,0,3,2,3,2,5,6,5,5,6,5,5,6,5,4,女,35,本科,5000-9999元,2.5,5.333333333,5.333333333,5.333333333
1,1,7,5,6,6,3,7,4,6,5,6,6,5,6,4,女,51,本科,10000-19999元,6,4.666666667,5.666666667,5.666666667
1,0,6,6,6,6,6,6,6,5,5,6,5,6,5,4,女,36,本科,5000-9999元,6,6,5.333333333,5.333333333
0,0,1,2,2,1,5,4,6,5,6,5,5,6,6,5,女,33,本科,2000-4999元,1.5,5,5.333333333,5.666666667
0,0,2,1,2,1,6,7,6,5,7,6,5,6,5,3,男,43,硕士,5000-9999元,1.5,6.333333333,6,5.333333333
0,1,1,1,1,1,2,3,4,7,6,7,6,6,7,5,女,33,本科,5000-9999元,1,3,6.666666667,6.333333333
1,0,6,7,6,6,6,4,5,5,6,6,6,6,5,5,女,45,本科,2000-4999元,6.25,5,5.666666667,5.666666667
1,1,7,7,6,5,3,3,3,6,5,6,5,2,5,3,女,25,专科,2000-4999元,6.25,3,5.666666667,4
0,1,1,1,1,1,3,5,2,2,3,3,2,1,1,6,男,26,本科,2000-4999元,1,3.333333333,2.666666667,1.333333333
0,1,1,1,1,1,3,5,7,6,5,5,6,5,6,4,女,26,本科,5000-9999元,1,5,5.333333333,5.666666667
1,0,6,7,5,5,6,5,5,6,5,5,5,5,6,4,女,23,硕士,5000-9999元,5.75,5.333333333,5.333333333,5.333333333
1,0,6,6,6,7,6,7,6,5,6,6,5,5,6,6,女,29,博士及以上,10000-19999元,6.25,6.333333333,5.666666667,5.333333333
1,0,7,7,7,7,6,6,6,5,5,5,6,5,5,5,女,23,本科,2000-4999元,7,6,5,5.333333333
0,0,2,3,3,2,5,5,6,4,5,5,6,5,5,4,女,23,本科,2000-4999元,2.5,5.333333333,4.666666667,5.333333333
0,1,1,2,1,2,4,4,4,5,5,6,6,5,6,5,女,26,本科,2000-4999元,1.5,4,5.333333333,5.666666667
1,1,6,6,6,7,3,4,1,6,5,5,6,5,5,4,女,32,本科,10000-19999元,6.25,2.666666667,5.333333333,5.333333333
1,0,7,7,7,7,6,5,5,6,6,7,6,6,7,4,女,35,本科,10000-19999元,7,5.333333333,6.333333333,6.333333333
0,0,1,2,1,1,7,6,7,6,7,6,6,5,6,3,女,26,本科,10000-19999元,1.25,6.666666667,6.333333333,5.666666667
0,0,1,1,1,2,7,5,7,4,3,3,4,3,4,6,男,40,本科,5000-9999元,1.25,6.333333333,3.333333333,3.666666667
1,1,7,7,7,7,3,4,3,3,2,2,2,3,2,6,女,23,本科,10000-19999元,7,3.333333333,2.333333333,2.333333333
0,0,1,2,1,1,6,5,5,6,5,7,7,7,6,5,男,35,本科,10000-19999元,1.25,5.333333333,6,6.666666667
0,0,1,1,1,1,7,6,7,5,5,6,5,5,6,5,女,31,本科,5000-9999元,1,6.666666667,5.333333333,5.333333333
0,1,1,2,1,2,4,6,3,5,6,6,6,5,6,4,女,26,本科,5000-9999元,1.5,4.333333333,5.666666667,5.666666667
1,0,6,5,7,6,7,5,6,6,5,6,6,6,7,5,男,27,本科,10000-19999元,6,6,5.666666667,6.333333333
0,1,1,1,1,1,4,4,5,2,3,4,2,1,1,7,女,30,本科,2000-4999元,1,4.333333333,3,1.333333333
0,0,3,3,3,2,6,5,5,5,6,4,6,5,5,5,男,21,专科,2000元以下,2.75,5.333333333,5,5.333333333
1,0,7,7,6,7,6,7,6,5,5,6,6,5,5,4,女,38,本科,5000-9999元,6.75,6.333333333,5.333333333,5.333333333
0,1,1,2,1,3,3,5,3,6,5,7,7,5,7,5,男,58,本科,10000-19999元,1.75,3.666666667,6,6.333333333
0,0,2,3,2,3,5,6,5,6,5,6,6,5,5,4,男,42,本科,10000-19999元,2.5,5.333333333,5.666666667,5.333333333
0,1,2,1,2,1,4,4,4,3,4,2,2,1,3,5,女,45,本科,5000-9999元,1.5,4,3,2
1,0,6,7,6,7,6,7,5,4,5,5,5,4,5,5,女,21,专科,2000-4999元,6.5,6,4.666666667,4.666666667
1,0,6,7,6,7,5,7,6,5,7,6,6,5,7,5,女,27,硕士,5000-9999元,6.5,6,6,6
1,1,6,6,6,6,3,4,6,4,3,4,5,5,6,4,女,36,硕士,10000-19999元,6,4.333333333,3.666666667,5.333333333
0,0,1,2,1,1,6,6,7,6,6,7,6,6,5,3,女,41,本科,5000-9999元,1.25,6.333333333,6.333333333,5.666666667
1,0,6,7,6,7,6,5,6,5,6,6,6,5,5,4,女,56,专科,5000-9999元,6.5,5.666666667,5.666666667,5.333333333
0,0,2,3,2,1,6,5,7,6,5,7,6,5,7,5,女,31,本科,5000-9999元,2,6,6,6
0,0,2,1,2,2,6,7,5,6,7,7,6,5,7,5,男,33,本科,5000-9999元,1.75,6,6.666666667,6
0,0,1,2,1,1,6,5,7,5,7,7,6,7,7,6,女,26,本科,2000-4999元,1.25,6,6.333333333,6.666666667
1,0,7,7,7,7,7,6,6,5,5,5,4,4,3,6,男,18,本科,2000元以下,7,6.333333333,5,3.666666667
1,1,7,6,6,6,4,2,2,5,6,6,6,5,5,3,女,24,本科,2000-4999元,6.25,2.666666667,5.666666667,5.333333333
1,0,7,6,7,6,5,6,6,5,6,6,6,5,6,4,女,28,本科,5000-9999元,6.5,5.666666667,5.666666667,5.666666667
1,1,7,7,7,7,3,5,4,5,4,5,3,5,5,4,男,27,本科,10000-19999元,7,4,4.666666667,4.333333333
1,0,7,6,7,7,6,6,5,5,5,6,6,6,7,5,男,22,硕士,2000元以下,6.75,5.666666667,5.333333333,6.333333333
0,0,1,2,1,2,6,4,5,4,5,4,6,5,6,5,男,34,本科,10000-19999元,1.5,5,4.333333333,5.666666667
0,0,1,1,2,1,5,6,6,5,4,6,6,5,7,6,女,29,本科,10000-19999元,1.25,5.666666667,5,6
0,0,1,1,1,1,6,5,6,5,6,5,5,4,5,5,女,22,本科,2000-4999元,1,5.666666667,5.333333333,4.666666667
0,0,1,2,2,1,7,4,6,7,7,7,6,6,7,4,女,21,本科,2000元以下,1.5,5.666666667,7,6.333333333
