Control Group,Price Group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q12_1,Q12_2,Q12_3,Q13,Sex,Age,Edu,Income,Perceive Control,Precise Price,Purchase Intention,Plausibility
0,0,1,2,1,3,6,7,6,4,3,4,3,2,4,6,男,26,本科,5000-9999元,1.75,6.333333333,3.666666667,3
1,0,7,5,7,6,6,7,5,6,6,5,7,6,6,5,男,29,本科,5000-9999元,6.25,6,5.666666667,6.333333333
0,1,1,1,2,1,5,6,5,6,5,6,5,5,6,4,女,25,硕士,5000-9999元,1.25,5.333333333,5.666666667,5.333333333
0,0,1,1,1,1,5,6,6,5,5,6,5,6,5,4,女,27,本科,5000-9999元,1,5.666666667,5.333333333,5.333333333
1,1,5,6,6,6,6,5,5,5,6,5,6,5,6,3,男,32,本科,5000-9999元,5.75,5.333333333,5.333333333,5.666666667
1,1,6,7,5,6,3,4,2,3,4,5,3,2,2,5,女,19,本科,2000元以下,6,3,4,2.333333333
1,0,6,7,7,6,6,6,7,5,7,6,6,5,7,5,男,32,本科,5000-9999元,6.5,6.333333333,6,6
1,0,6,5,5,5,5,6,5,6,7,5,6,5,5,4,女,28,本科,5000-9999元,5.25,5.333333333,6,5.333333333
1,0,7,7,7,7,6,5,6,6,5,6,6,6,7,3,男,34,硕士,10000-19999元,7,5.666666667,5.666666667,6.333333333
1,1,6,7,7,6,5,6,5,6,7,7,5,4,7,4,女,34,硕士,10000-19999元,6.5,5.333333333,6.666666667,5.333333333
1,0,6,7,6,7,6,5,7,6,5,7,6,7,5,4,女,33,本科,5000-9999元,6.5,6,6,6
0,0,1,2,1,2,6,7,5,4,3,4,6,5,4,5,女,41,本科,10000-19999元,1.5,6,3.666666667,5
1,0,6,6,6,7,7,6,7,5,5,6,6,6,7,5,女,56,本科,20000元以上,6.25,6.666666667,5.333333333,6.333333333
1,0,6,7,7,7,6,7,7,5,6,7,6,7,6,4,女,50,硕士,20000元以上,6.75,6.666666667,6,6.333333333
0,0,2,1,2,1,7,6,6,5,6,6,6,5,7,4,女,34,硕士,20000元以上,1.5,6.333333333,5.666666667,6
0,0,1,1,2,2,6,6,6,2,2,2,3,2,3,6,女,20,本科,2000元以下,1.5,6,2,2.666666667
1,1,7,7,6,7,6,1,7,7,6,6,7,6,4,5,女,44,硕士,20000元以上,6.75,4.666666667,6.333333333,5.666666667
1,0,7,6,2,6,7,6,6,6,6,7,5,6,6,4,男,31,硕士,10000-19999元,5.25,6.333333333,6.333333333,5.666666667
1,0,5,6,5,6,6,5,6,5,6,6,5,6,5,4,女,33,专科,2000-4999元,5.5,5.666666667,5.666666667,5.333333333
1,0,6,5,6,6,6,5,5,6,7,6,6,7,6,5,男,35,硕士,10000-19999元,5.75,5.333333333,6.333333333,6.333333333
1,1,6,7,6,7,6,5,5,6,7,7,5,5,6,5,男,31,本科,10000-19999元,6.5,5.333333333,6.666666667,5.333333333
0,0,2,3,2,3,5,6,5,5,5,6,6,5,6,4,男,42,本科,10000-19999元,2.5,5.333333333,5.333333333,5.666666667
1,1,7,6,5,6,3,3,4,6,5,6,5,5,6,3,男,30,本科,5000-9999元,6,3.333333333,5.666666667,5.333333333
0,0,2,1,2,1,6,7,7,5,7,6,6,5,7,5,男,61,本科,10000-19999元,1.5,6.666666667,6,6
0,0,1,2,2,2,7,6,7,4,2,3,7,6,6,6,女,20,本科,2000元以下,1.75,6.666666667,3,6.333333333
0,0,1,1,1,1,7,7,6,4,4,5,6,5,5,4,女,39,本科,10000-19999元,1,6.666666667,4.333333333,5.333333333
0,0,2,1,2,1,6,7,6,5,6,6,6,6,5,4,男,38,本科,10000-19999元,1.5,6.333333333,5.666666667,5.666666667
1,0,7,7,7,7,7,7,7,6,6,7,6,6,7,5,男,65,专科,5000-9999元,7,7,6.333333333,6.333333333
1,0,7,7,7,7,7,6,7,5,6,7,5,6,6,5,男,45,本科,10000-19999元,7,6.666666667,6,5.666666667
0,1,1,2,2,1,5,5,4,3,2,2,4,3,3,6,女,23,本科,10000-19999元,1.5,4.666666667,2.333333333,3.333333333
1,0,7,7,7,7,7,7,7,4,4,5,6,6,5,5,女,31,专科,2000-4999元,7,7,4.333333333,5.666666667
1,1,6,7,7,6,6,5,5,5,5,6,5,5,4,6,男,23,本科,2000元以下,6.5,5.333333333,5.333333333,4.666666667
0,0,1,2,2,1,5,5,6,5,6,5,6,5,5,4,女,21,专科,2000元以下,1.5,5.333333333,5.333333333,5.333333333
1,0,6,6,6,6,5,5,5,5,6,5,6,6,6,5,男,57,本科,5000-9999元,6,5,5.333333333,6
0,1,3,2,2,2,6,5,6,5,6,5,6,5,6,5,女,22,硕士,2000-4999元,2.25,5.666666667,5.333333333,5.666666667
0,0,2,2,2,2,5,5,5,4,3,3,3,3,3,6,女,24,硕士,2000元以下,2,5,3.333333333,3
0,1,2,1,2,1,5,4,5,5,4,6,6,5,5,5,女,35,本科,5000-9999元,1.5,4.666666667,5,5.333333333
1,1,6,6,6,5,5,6,5,5,5,5,5,4,3,5,女,19,本科,2000-4999元,5.75,5.333333333,5,4
1,0,7,5,6,6,5,7,6,7,5,6,7,5,6,4,男,25,本科,2000-4999元,6,6,6,6
0,0,1,2,1,2,6,6,6,5,6,6,6,6,5,5,女,36,本科,5000-9999元,1.5,6,5.666666667,5.666666667
0,0,1,1,1,2,6,7,7,6,6,7,6,6,7,3,男,43,硕士,10000-19999元,1.25,6.666666667,6.333333333,6.333333333
0,0,2,2,2,2,6,7,6,5,5,6,6,6,5,5,女,24,硕士,2000-4999元,2,6.333333333,5.333333333,5.666666667
1,0,7,7,7,6,5,6,6,4,4,5,5,5,4,6,女,20,本科,2000元以下,6.75,5.666666667,4.333333333,4.666666667
1,1,7,6,6,6,6,5,6,5,5,6,5,6,6,5,女,24,本科,2000-4999元,6.25,5.666666667,5.333333333,5.666666667
1,0,6,7,7,7,6,6,7,5,5,6,6,5,5,5,女,23,本科,10000-19999元,6.75,6.333333333,5.333333333,5.333333333
0,0,1,1,1,1,7,7,7,6,6,7,6,7,7,4,男,30,硕士,5000-9999元,1,7,6.333333333,6.666666667
0,1,3,2,3,5,4,3,4,4,4,5,4,3,4,5,男,26,本科,5000-9999元,3.25,3.666666667,4.333333333,3.666666667
0,1,1,1,1,2,5,6,5,5,6,6,6,5,7,4,男,35,硕士,5000-9999元,1.25,5.333333333,5.666666667,6
0,0,1,2,1,2,6,5,7,7,6,6,7,6,6,3,男,42,硕士,5000-9999元,1.5,6,6.333333333,6.333333333
